,MealsOut,SchBkfst_0,SchBkfst_1,SchBkfst_2,SchLunch_0,SchLunch_1,SchLunch_2,NwkLunch,NwkBkfast,Milk30Days,SchMeal,NwkMeals,MilkType,GTot,GRefine,GWhole,VTot,VDrkGr,VRedOrTot,VRedOr,VTomato,VStarchTot,VStarchPot,VStarchOth,VOther,Legume,FTot,FCitMlB,FOther,DTot,DMilk,DYogurt,DCheese,PTot,Pmps,PMeat,PFrank,POrgan,PPoult,PFishLow,PFishHigh,PEgg,PSoy,PNut,Oils,SolidFat,AddSugars,Alcohol
0,1.0,False,False,True,False,False,True,0.0,0.0,2.0,2.0,2.0,3.0,3.09,2.345,0.744,0.666,0.0,0.04,0.0,0.04,0.48,0.48,0.0,0.147,0.0,0.0,0.0,0.0,0.667,0.667,0.0,0.0,2.188,1.094,1.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,19.896,29.765,0.0
1,2.0,False,True,False,False,True,False,5.0,5.0,3.0,1.0,6.0,4.0,10.542,8.593,1.949,5.29,0.0,1.391,0.0,1.391,2.48,2.23,0.25,1.42,0.0,0.0,0.0,0.0,7.665,6.097,0.0,1.563,28.936,14.446,14.446,0.0,0.0,0.0,0.0,0.0,0.015,0.029,0.0,28.915,161.059,84.58,0.0
2,0.0,False,True,False,False,True,False,5.0,0.0,3.0,1.0,6.0,4.0,14.382,11.638,2.744,1.001,0.0,0.419,0.0,0.419,0.201,0.201,0.0,0.381,0.0,0.859,0.072,0.787,4.739,3.999,0.0,0.74,33.693,16.814,13.868,2.946,0.0,0.0,0.0,0.0,0.065,0.0,0.0,38.189,140.021,101.558,0.0
3,1.0,False,False,True,False,False,True,0.0,0.0,1.0,2.0,2.0,4.0,1.569,1.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274,0.274,0.0,0.667,0.0,0.0,0.667,7.724,3.101,3.101,0.0,0.0,0.0,0.0,0.0,1.522,0.0,0.0,0.0,38.55,24.208,0.0
4,3.0,False,True,False,False,True,False,5.0,5.0,3.0,1.0,6.0,4.0,4.762,4.123,0.639,0.515,0.0,0.222,0.0,0.222,0.0,0.0,0.0,0.293,0.0,0.272,0.249,0.023,1.0,1.0,0.0,0.0,5.921,2.627,2.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,3.603,23.378,11.247,0.0
5,0.0,False,True,False,False,True,False,5.0,5.0,3.0,1.0,6.0,3.0,7.431,7.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.423,0.0,1.819,0.795,0.0,0.914,3.242,1.173,0.395,0.778,0.0,0.0,0.0,0.0,0.896,0.0,0.0,10.458,84.199,16.757,0.0
6,2.0,False,True,False,False,True,False,0.0,2.0,2.0,1.0,1.0,4.0,0.986,0.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.344,2.45,18.296,0.0
7,0.0,False,True,False,False,True,False,1.0,0.0,3.0,1.0,2.0,3.0,11.218,11.19,0.028,0.907,0.0,0.521,0.368,0.153,0.368,0.0,0.368,0.023,0.0,0.0,0.0,0.0,3.274,3.064,0.0,0.21,13.003,6.168,0.018,3.217,0.0,2.933,0.0,0.0,0.0,0.0,0.667,3.835,114.497,32.143,0.0
8,1.0,False,True,False,False,True,False,5.0,0.0,2.0,1.0,6.0,4.0,2.963,2.963,0.0,1.962,0.0,0.234,0.081,0.153,1.318,1.318,0.0,0.41,0.089,3.05,0.051,2.999,0.016,0.002,0.0,0.0,8.076,3.88,0.106,0.0,0.0,3.774,0.0,0.0,0.0,0.0,0.316,22.823,11.019,17.369,0.0
9,1.0,False,False,True,False,False,True,0.0,0.0,3.0,2.0,2.0,4.0,2.421,1.08,1.341,0.266,0.0,0.038,0.0,0.038,0.0,0.0,0.0,0.229,0.0,3.69,3.69,0.0,0.369,0.369,0.0,0.0,5.016,2.506,0.0,1.446,0.0,1.06,0.0,0.0,0.004,0.0,0.0,1.565,28.028,18.847,0.0
